operation_type,log_size,dtype,cpu_runtime_ms,gpu_runtime_ms,transfer_time_ms,winner,cpu_load_pct,is_battery_powered,power_mode,gpu_load_pct,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_pressure,gpu_temp_C,thermal_headroom,concurrent_gpu_tasks,device_name,is_edge,source_file,data_transfer_cost_ms,gpu_mem_free_mb
conv2d,5.6458,float32,4.6268,250.1945,0.6039,0,19.7,1.0,0.0,6,202.0,4096.0,0.0494,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,6.5489,float32,1.2693,146.8677,0.5692,0,54.6,1.0,0.0,4,204.0,4096.0,0.0499,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,7.4185,float32,5.2613,4.1781,0.6409,1,46.2,1.0,0.0,4,204.0,4096.0,0.0499,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,7.8779,float32,5.9143,5.0766,1.666,0,56.0,1.0,0.0,4,226.0,4096.0,0.0553,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,8.3216,float32,7.7961,39.0236,1.12,0,68.6,1.0,0.0,4,226.0,4096.0,0.0553,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,8.48,float32,13.8257,8.7374,0.8564,1,58.3,1.0,0.0,4,226.0,4096.0,0.0553,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,8.9237,float32,16.8956,6.0242,0.8655,1,80.0,1.0,0.0,4,226.0,4096.0,0.0553,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,8.6738,float32,14.4512,6.1061,1.1546,1,50.0,1.0,0.0,4,226.0,4096.0,0.0553,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,9.1175,float32,36.0071,5.9902,1.0612,1,50.0,1.0,0.0,4,226.0,4096.0,0.0553,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,8.8322,float32,24.7383,6.5393,1.3871,1,72.9,1.0,0.0,4,226.0,4096.0,0.0553,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,9.2759,float32,52.6739,6.9702,1.5411,1,64.4,1.0,0.0,4,226.0,4096.0,0.0553,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,8.9661,float32,31.9849,8.2279,1.8415,1,52.1,1.0,0.0,4,246.0,4096.0,0.0602,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,9.4098,float32,64.9034,7.9359,1.6904,1,57.4,1.0,0.0,5,246.0,4096.0,0.0602,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,9.5681,float32,88.5043,16.0491,3.3417,1,56.9,1.0,0.0,3,272.0,4096.0,0.0665,53,32.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,10.0118,float32,213.292,19.2584,3.0262,1,71.7,1.0,0.0,5,272.0,4096.0,0.0665,53,32.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,9.0821,float32,35.6136,8.4662,2.1756,1,76.3,1.0,0.0,9,272.0,4096.0,0.0665,53,32.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,9.5258,float32,91.9239,11.2964,2.6561,1,82.0,1.0,0.0,9,272.0,4096.0,0.0665,53,32.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,9.6841,float32,117.3605,12.2671,3.3078,1,67.2,1.0,0.0,3,304.0,4096.0,0.0743,53,32.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,10.1278,float32,252.4477,24.6205,4.4119,1,67.6,1.0,0.0,6,304.0,4096.0,0.0743,53,32.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,9.2759,float32,73.7829,13.2858,2.8823,1,67.7,1.0,0.0,2,304.0,4096.0,0.0743,53,32.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,9.7196,float32,133.8879,14.0449,4.1279,1,67.3,1.0,0.0,13,304.0,4096.0,0.0743,53,32.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,9.8779,float32,192.3121,17.8897,5.7216,1,70.7,1.0,0.0,2,354.0,4096.0,0.0865,53,32.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,10.3216,float32,410.3678,33.9471,6.0496,1,76.9,1.0,0.0,0,354.0,4096.0,0.0865,53,32.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,5.6458,float16,3.1339,48.1512,0.6119,0,69.2,1.0,0.0,0,356.0,4096.0,0.087,53,32.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,6.5489,float16,25.1819,10.7746,0.6049,1,89.2,1.0,0.0,21,356.0,4096.0,0.087,53,32.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,7.4185,float16,120.8345,8.4655,0.5518,1,61.3,1.0,0.0,21,356.0,4096.0,0.087,53,32.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,7.8779,float16,355.4686,5.6764,0.3879,1,55.7,1.0,0.0,0,356.0,4096.0,0.087,53,32.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,8.3216,float16,849.6166,5.2653,0.8252,1,39.0,1.0,0.0,0,356.0,4096.0,0.087,53,32.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
